element,free,item,color
# 五行(中心星)ごとのラッキーアイテム。free=1は無料プール(各五行5個)、全行が有料プール(各五行20個)。
# 色はアイテムに似合う色。トレンド寄りの叩き台＝リーダー上書き前提。element順は 木→火→土→金→水。
木,1,観葉植物の小鉢,深緑
木,1,木のお箸,生成り
木,1,文庫本を一冊,若草色
木,1,リネンのハンカチ,アイボリー
木,1,ミントのハーブティー,ミントグリーン
木,0,ユーカリのスワッグ,グレイッシュグリーン
木,0,ヒノキのアロマオイル,ベージュ
木,0,籐のかごバッグ,ナチュラルブラウン
木,0,ビカクシダ（観葉植物）,フォレストグリーン
木,0,木製のフォトフレーム,ライトウッド
木,0,多肉植物の寄せ植え,セージグリーン
木,0,グリーンのニットベスト,カーキ
木,0,竹の歯ブラシ,生成り
木,0,抹茶ラテ,抹茶色
木,0,アロマディフューザー,オフホワイト
木,0,モンステラ（観葉植物）,ディープグリーン
木,0,麻のエプロン,リネンベージュ
木,0,木製のキーホルダー,チーク
木,0,ボタニカル柄のスカーフ,オリーブ
木,0,新しい手帳,モスグリーン
火,1,小さな間接照明,アンバー
火,1,アロマキャンドル,テラコッタ
火,1,あたたかい紅茶,ルビーレッド
火,1,赤いヘアゴム,朱色
火,1,ドライフラワー（赤系）,ボルドー
火,0,テラコッタのキャンドルホルダー,テラコッタ
火,0,シナモンのチャイ,シナモンブラウン
火,0,朱色のリップ,朱赤
火,0,ガラスのランタン,琥珀色
火,0,赤いソックス,レッド
火,0,スパイスカレー,ターメリック
火,0,コーラルのネイル,コーラルピンク
火,0,真鍮のキャンドルスタンド,ブラス
火,0,焚き火の動画を観る時間,オレンジ
火,0,赤縁のメガネ,バーガンディ
火,0,ホットワイン,ワインレッド
火,0,サンセットカラーのスマホケース,サンセットオレンジ
火,0,柑橘のアロマミスト,マンダリン
火,0,赤いブックカバー,カーマイン
火,0,チェリー柄の小物,チェリーレッド
土,1,陶器のマグ,キャメル
土,1,おにぎり,ライスベージュ
土,1,黄色い小物,マスタード
土,1,焼き菓子,きつね色
土,1,素焼きの鉢,テラコッタ
土,0,テラコッタの植木鉢,テラコッタ
土,0,はちみつ,ハニーイエロー
土,0,ベージュのトートバッグ,ベージュ
土,0,土鍋で炊いたごはん,生成り
土,0,木綿の靴下,オートミール
土,0,黄色いマグカップ,マスタードイエロー
土,0,焼きたてのパン,ウィート
土,0,革のキーケース,キャメルブラウン
土,0,陶器のアクセサリートレイ,サンドベージュ
土,0,さつまいものお菓子,イエローオークル
土,0,ベージュのストール,グレージュ
土,0,信楽焼の箸置き,土色
土,0,キャラメルラテ,キャラメル
土,0,黄土色のニット,マスタード
土,0,ぬか漬け,ぬか色
金,1,シルバーのアクセサリー,シルバー
金,1,白いシャツ,ホワイト
金,1,みがいた鏡,シルバーグレー
金,1,金属のペン,ガンメタル
金,1,白いハンカチ,オフホワイト
金,0,真鍮のしおり,ブラスゴールド
金,0,白い陶器のプレート,ホワイト
金,0,シルバーのリング,シルバー
金,0,ホワイトフローラルの香水,パールホワイト
金,0,ステンレスのボトル,ステンレスシルバー
金,0,パールのピアス,パール
金,0,白いスニーカー,ホワイト
金,0,金縁のアクセサリートレイ,ゴールド
金,0,クロームのキーリング,クローム
金,0,白磁のカップ,白磁
金,0,シルバーの腕時計,シルバー
金,0,アイボリーのニット,アイボリー
金,0,ミニ鏡,シルバー
金,0,銀のブックマーカー,シルバー
金,0,白い花を一輪,ピュアホワイト
水,1,ガラスのコップ,クリア
水,1,青い小物,ブルー
水,1,ゆっくりのお風呂,水色
水,1,こまめな水分,アクアブルー
水,1,紺のハンカチ,ネイビー
水,0,ガラスのフラワーベース,クリアブルー
水,0,ラベンダーの入浴剤,ラベンダー
水,0,ネイビーのソックス,ネイビー
水,0,化粧水,ペールブルー
水,0,青いボールペン,ロイヤルブルー
水,0,ガラスのピアス,クリア
水,0,黒い手帳,ブラック
水,0,ミネラルウォーター,アクア
水,0,水色のマグ,スカイブルー
水,0,シルクの枕カバー,ミッドナイトブルー
水,0,アロマバスソルト,ラベンダーブルー
水,0,紺のキャップ,ネイビー
水,0,ガラスの一輪挿し,クリア
水,0,海の写真集,マリンブルー
水,0,青いブックカバー,インディゴ
